movie_id	content	year
1120780	&***()……%￥	0
1120860	スターフィッシュホテル	2006
889529	007别传之皇家夜总会	1967
757511	007：大破量子危机	2008
508149	007：大破天幕杀机	2013
192776	《007：大破天幕杀机》拍摄日志	2013
967466	007：大破天幕杀机（普通话）	2013
578389	007电影经典片头大赏	0
158000	007：大战皇家赌场	2007
1080304	007：大战皇家赌场	2006
1289229	007：俄罗斯之恋	1963
1125911	007(杀人游戏)	2017
761429	007外传之巡弋飞弹	1983
1242225	007：无暇赴死	2020
1183982	007香艳情史揭秘	2013
770480	007香艳史	2015
1183980	007与邦女郎的香艳情史	0
1128628	007艳传	1964
172212	007：幽灵党	2015
966427	007：幽灵党（普通话）	2015
1067036	007之八爪女	1983
1186259	007之俄罗斯之恋	1963
761787	007之海底城	1977
130919	007之黄金眼	1995
107179	007之黑日危机	1999
1072310	007之金刚钻	1971
761969	007之金枪人	1974
762485	007之金手指	1965
761127	007之黎明生机	1987
1128973	007之雷霆谷	1967
761296	007之雷霆杀机	1985
762545	007之来自俄国的爱情	1964
127486	007之明日帝国	1997
1105879	007之诺博士	1962
762213	007之女王密使	1969
762495	007之霹雳弹	1965
1072353	007之杀人执照	1989
762019	007之生死关头	1973
761642	007之太空城	1979
761535	007之最高机密	1981
759235	007之择日而亡	2002
1298743	009ノ1还未开始就已结束	2013
1130563	0.0兆赫	2019
1276409	0202测试	2020
96066	0.5的爱情	2014
200307	0.5毫米	2014
1120745	07隐形战机	2007
756125	1000s计划	2012
918291	1000小时的夜晚	2016
1136586	1000小时的夜晚	2017
1295738	100次哭泣	2013
191985	100℃的微热	2014
1155787	100分恋爱	2019
129030	100个	2001
992143	100个······	2001
1032293	100个……	2001
1298742	100禁	2013
234049	100英尺	2008
157837	101斑点狗	1961
1132235	101斑点狗(普通话)	1961
96338	101次求婚	2013
967844	101朵玫瑰	2009
934027	101条斑点狗	1996
135053	101忠狗	1961
663616	101真狗	1996
232681	102真狗	2000
990659	10大震撼心灵的电影瞬间	0
989453	10大最美古装女神	0
165834	10放	2013
192497	10分钟	2014
192715	10月观影指南	2013
890443	10亿票房大片·4K免费看	0
764503	10亿票房俱乐部	0
193132	11·25自决之日	2012
1120635	119号女子集中营	1977
939016	119婚约	2015
1080713	119天：海上历险记	2015
1080544	11点14分	2003
193242	11度青春之阿泽的夏天	2012
786880	11分钟	2015
320195	11号监狱	2014
1081380	11号战壕	2017
791593	11时	2013
192445	11月观影指南	2013
772224	11月全球热映电影混剪	2014
1277640	123度谋杀案	2020
760508	1,2,3,太阳	1993
106161	127小时	2010
130658	1/2次同床	1996
192116	12大高口碑动画佳作，童心大冒险！	2014
194636	12大港女求爱电影	2010
1308142	1/2的魔法	2020
760781	12个温柔的日本人	1991
1081413	12回合	2009
1081414	12回合2	2013
1112531	12回合2：重装上阵	2013
220956	12回合3：致命禁闭	2015
1120526	12号星期五	2009
211123	12秒58	2008
1325747	12怒汉：大审判	2007
1289411	12岁.	2014
889725	12条圣诞狗狗	2005
1249433	12勇士	2018
586480	12月新片抢鲜看	0
511703	1303大厦	2013
1298752	1313夜寡妇	2012
1115597	13鬼作祟	2013
1116164	13号怪异岛	2013
756958	13号楼b座	2009
1285539	13骇人游戏	2014
1232690	13号子弹	2010
880409	13号诊室	2017
591939	13家庭	2009
1128643	13猛鬼	1960
192869	13年12月观影指南	2013
757868	13平方米	2007
1108242	13岁不孤单	2017
758159	13月	2006
898608	1428	2015
758151	14比塞塔换1法郎	2006
1115565	14大异色蕾丝片，双女迷情	2014
1115791	14号收容所：完全控制区域	2012
191654	14年10月观影指南	2014
191881	14年11月观影指南	2014
191727	14年12月观影指南	2014
191862	14年1月观影指南	2014
191682	14年2月观影指南	2014
973075	14年3月观影指南	2014
192111	14年4月观影指南	2014
191722	14年5月观影指南	2014
191626	14年6月观影指南	2014
191563	14年7月观影指南	2014
192094	14年8月观影指南	2014
191878	14年9月观影指南	2014
1247749	150小时	2019
1197005	15点17分，启程巴黎	2018
578366	15大校园爱情同桌VS死党	0
191482	15年1月观影指南	2015
191513	15年2月观影指南	2015
191539	15年3月观影指南	2015
1246831	1600谋杀案	1997
114191	1612动乱时代	2007
193243	168之恋	2012
889259	16天	2005
1269990	171020	0
720479	17年2月观影指南	2017
720198	17年3月观影指南	2017
195768	180°以南	2010
193337	180°之巨蟹摩羯	2012
319641	1812：骑兵之歌	2012
898845	1812：枪骑兵之歌	2012
938870	181号储物柜	2016
1114174	187美国社会档案	1997
761703	1/880000的孤独	1978
973538	18道爱滋味	2010
757117	18伦	2009
918533	18年1月观影指南	2017
926347	18年3月观影指南	0
933000	18年5月观影指南	0
939952	18年7月观影指南	0
512085	18岁，18天	2015
889686	18岁的勇气	2013
159859	1915年的卡蜜儿	2013
1265308	1917	2019
1156384	1922	2017
1102273	1931刺杀宋子文之谜	2019
762032	1936年的岁月	1973
1076609	1941之春	2008
758451	1942	2005
1080964	1942	2012
972893	1942年夏天	1971
1080367	1944	2015
578938	1966年	2007
1303935	1966年世界杯	2006
319861	1966年(原声)	2006
1213301	1988年的妮可	2017
1268527	1991靓妹仔	1992
319183	1997悍将奇兵	1997
112113	19岁	2009
993551	1比15	2015
1120568	1号通缉令	1997
935756	1号玩家	2018
594980	1月新片抢鲜看	0
889116	2001病态者	2006
1081276	2001年漫游太空	1968
134783	2001太空漫游	1968
793685	2002	2001
759709	2002坏女孩	1999
969536	2002粤语	2001
1240836	2006年世界杯决赛圈官方纪录片	2006
1083634	2009迷失的记忆	2002
1239402	2010	1984
1081280	2010超时空出击	1984
992960	2010：太空漫游	1984
1133581	2010威震太阳神	1984
111665	2012	2009
194053	2012奥斯卡	2012
1105838	2012来了	2011
757183	2012末日是科学还是迷信	2009
1328657	2012(普通话)	2009
192124	2012十大电影新闻事件	2013
1080375	2012世界末日	2009
1081595	2012世界末日(国语版)	2009
1083511	2012：thewarforsouls	2014
108897	2012喜上加喜	2012
1105827	201314	2013
992176	2013第二届华语大学生微电影节获奖影片展播	2013
881874	2013终极神差	1997
192108	201413	2014
191756	2014奥斯卡相关报道	2014
191618	2014大片前瞻之超级英雄篇	2014
191977	2014大片前瞻之动画篇	2014
191585	2014大片前瞻之华语篇	2014
192036	2014大片前瞻之科幻篇	2014
191724	2014大片前瞻之史诗篇	2014
191568	2014荷兰在线电影节	2014
775096	2014年上映电影混剪	2014
1133019	2014暑期电影主题曲	2014
1115469	2014，他们雷倒众生	2014
578679	2014星球大战日	0
396594	2015，国产雷片一箩筐	0
191536	2015华语片年度票房To10	2015
578421	2015年最强大片年	0
396110	2015，他们最搞笑	0
1083515	2015中国杯帆船赛	0
768425	20：16	2017
992271	2016颁奖季热门影片	0
191272	2016荷兰在线电影节	2016
770960	2016芒果升级公告	2015
773503	2016年度大片混剪	2016
763538	2016年度十大激斗场面	0
763539	2016年十大感人画面	0
990630	2016上半年的电影该补补课了	0
371764	2016暑假电影补档季	0
1210852	2016：夜之尽头	2011
890192	2017多伦多国际电影节	0
912211	2017年12月观影指南	0
1118410	2017年1月春节档强片云集谁是王中王？	0
689169	2017年1月第三周科幻大片燥起来	0
715067	2017年2月情人节档情侣档&荷尔蒙爱好者	0
763537	2017年2月元宵档男神集结大对垒	0
1118101	2017年北美超级大片前瞻	0
689062	2017年第89届奥斯卡金像奖	0
689330	2017年的第一把狗粮	0
782429	2017年上半年最热电影免费看	0
1120392	2017年暑期档国产片前瞻	0
966461	2017企鹅影视青梦导演扶持计划.短片展映	0
902277	2017台湾电影金马奖红毯专辑	0
1128972	2017新男女关系	2016
918192	2017最佳电影	0
916744	2017最美表演	2017
1078151	2018法网第十五比赛日	0
920698	2018年2月观影指南	2018
928513	2018年4月观影指南	2018
938659	2018年6月观影指南	2018
1078670	2018拳力巅峰-WBO洲际拳王争霸赛	0
970898	2018闪光开学季	0
986670	2018最酷最燃的年度电影瞬间	0
986022	2019把乐带回家——摘星者	2019
1315194	2019法网第十五比赛日	0
